单词,词性和解释,频率,状态
postage,n. 邮费，邮资,中,
resolute,a. 坚决的，果断的,低,
evoke,vt. 唤起，引起,低,
emerge,vi. 浮现，出现，显现,高,
burglar,n. 窃贼，破门盗窃者,低,
mutter,v. 嘟哝；抱怨,低,
hamper,vt. 妨碍，阻碍；牵制，束缚,中,
sightseeing,n. 观光，游览,高,
cucumber,n. 黄瓜,中,
constituent,"a. 形成的，组成的
n. 成分，要素",中,
grace,"n. 优美，优雅；恩惠，恩泽
v. 为…增色",高,?
cabinet,n. 橱柜；内阁,低,
scarce,a. 缺乏的，不足的；稀少的，罕见的,低,
symposium,n. 讨论会，专题报告会；专题论文集,高,
commodity,n. 商品，物品,高,
vegetarian,n. 素食主义者,低,
depart,vi. 离开，启程,中,
tremble,vi. 发抖，颤抖；摇动，晃动,中,
treaty,n. 条约,中,
contagious,a. 传染性的，会蔓延的,低,
snobbish,a. 势利的,低,
alloy,n. 合金,低,
disposition,n. 处理；天性；气质；性格；性情；排列，部署,高,?
salute,"n. 敬礼；鸣礼炮；迎接，欢迎
v. 敬礼；向…致敬；问候",低,
distort,vt. 歪曲，扭曲,高,
toil,"n. 艰辛，辛苦
v. 艰难地进行，费力地做",低,
convention,n. 大会，会议；惯例，常规，习俗；公约，协定,高,
settlement,n. 解决；决定；调停；住宅区,高,?
alternate,"a. 交替的，轮流的
vi. 交替，轮流",高,?
poll,"n. 民意测验；政治选举，大选
vt. 对…进行民意测验；获得…选票",中,
tropic,n. 回归线；热带,中,
turbulent,a. 吵闹的；狂暴的；汹涌的；动乱的，无秩序的,中,?
jaw,n. 下颌，下巴,中,
publicity,n. 宣传，宣扬；公众的注意，名声,中,
aspire,vi. 向往，有志于,中,
abundant,a. 丰富的，充分的，充裕的；大量的,中,
trolley,n. 手推车，小车；<英>无轨电车；<美>有轨电车,低,
intrude,v. 侵入，闯入，打扰；把（思想等）强加于,中,
facility,n. （学习、做事的）才能，天赋；设备，设施；便利条件,高,
mercury,n. 水银；水星,中,
magnificent,a. 壮丽的，宏伟的,高,?
encyclopedia,n. 百科全书,低,
superfluous,a. 过剩的，多余的,高,x
anchor,"n. 锚；主播
v. 抛锚，停泊；使扎根，使基于",高,
economical,a. 经济的；节约的,高,
deplore,vt. 悲悼，哀叹；谴责,低,
withhold,vt. 拒给，不给；被停止；阻挡,中,?
furnace,n. 炉子，熔炉,中,x
appeal,"vi. 呼吁，要求；对…有吸引力；申诉，上诉
n. 呼吁，要求；吸引力；申诉，上诉",高,
thermometer,n. 温度计,中,
rip,"vt. 扯破，撕坏
n. 裂口，裂缝",中,
perpetual,a. 永久的，永恒的；长期的,中,
trail,"n. 踪迹，痕迹；（乡间）小道
vt. 追踪，跟踪",高,?
irrespective,a. 不顾的，不考虑的,中,
stroll,n./vi. 闲逛，漫步,中,x
flare,"vi. 闪耀，闪烁；突然烧起来；突然发怒
n. 闪耀，闪烁",高,?
beam,"n. （横）梁，桁条；（光线的）束；柱
vi. 微笑；发光",中,
sentiment,n. 思想感情；情绪；情操；意见；观点,高,?
enclosure,n. 围住，圈起；围场，四周有篱笆（或围墙）的场地；（信中的）附件,低,
strive,vi. 奋斗，努力,高,x
steer,v. 驾驶，掌舵；指导；引导,高,?
peculiar,a. 古怪的，异常的；特殊的，特有的,中,
inhale,v. 吸入，吸（烟），吸气,低,
penetrate,v. 穿过，渗入；看穿，洞察,低,
reign,"vi. 统治，支配；盛行；占优势
n. 统治，支配；统治时期；朝代",中,x
remote,a. 远的；长久的；偏僻的；关系疏远的；漠不关心的；微乎其微的,高,
sophomore,n. （大学）二年级学生,低,
loom,vi. 隐现，赫然耸现,中,
seminar,n. （大学的）研究班，研讨会；研讨课,中,
orchestra,n. 管弦乐队,高,
eccentric,"a. 古怪的，反常的
n. 古怪的人",低,
imperial,a. 帝国的，帝王的；至尊的，最高权力的；专横的；傲慢的；（度量衡）英制的,低,
feeble,a. 虚弱的，无力的,高,
integrity,n. 完整，完全；正直，诚实,中,
breach,"n. 裂缝，缺口
vt. 打破，裂开；违背",低,
endow,vt. 资助，捐赠；赋予,低,
pledge,"n. 誓约；保证
vt. 发誓；保证",低,
sustain,vt. 支撑，承受住；维持，持续；遭受；忍耐,高,?
shove,"v. 乱推，挤，用力推；乱塞，随意放
n. 猛推",中,?
sulfur/sulphur,n. 硫,低,
quiver,"v. （使某物）颤抖，抖动
n. 颤抖，抖动",低,
reap,v. 收割；收获,高,
discern,vt. 认出，发现；辨别，识别,高,x
doom,"n. 命运；厄运，劫数
vt. 注定，命定",高,
metric,a. 米制的，公制的,中,
intermediate,"a. 中间的，居间的；中级的
n. 中间体，媒介物",低,
diligent,a. 勤奋的，用功的,中,
layoff,n. 解雇；失业工人,中,
vapo(u)r,n. 蒸气,中,
ashore,ad. 在岸上；上岸,中,
faithfully,ad. 忠诚地，如实地,高,
cord,n. 绳索,低,
impair,vt. 损害，损伤；削弱；减少,中,
tragic,a. 悲剧的，悲惨的,中,
removal,n. 移动；迁居；出去,低,
daunt,vt. 使气馁，使畏缩,低,
signify,"vt. 表示，意味
vi. 要紧，有重要性",中,?
lottery,n. 彩票，抽彩给奖法；碰运气的事,低,
lapse,"n. 失误，疏忽；行为失检，失足；（时间的）流逝；间隔
vi. 终止，失效；陷入（或进入）…状态",低,
conviction,n. 深信，确信,高,x
intersection,n. 十字路口；交点,低,
vegetation,n. 植物，草木,低,
carriage,n. （四轮）马车；（火车）客车厢,低,
prominent,a. 突起的，凸出的；突出的，杰出的，著名的,中,x
editorial,n. 社论，社评,高,
crow,"n. 乌鸦；鸡啼，鸣叫
vi. 鸡啼，鸣叫",低,
preposition,n. 介词,低,
repel,vt. 击退；抵制，拒绝；防，抗；排斥；讨厌,高,?
comprehensive,a. 全面的，综合的,高,x
foul,"a. 难闻的，发臭的；令人厌恶的，糟透了的；下流的，辱骂性的，邪恶的；（天气）恶劣的，有暴雨的
v. （比赛中对…）犯规；弄脏，弄污
n. （比赛中的）犯规",低,
fiscal,a. 财政的，国库的，税收的,低,
obesity,n. 肥大，肥胖,低,
submerge,"vt. 沉没，淹没
vi. 潜入",低,
incline,"v. （使）倾斜，（使）偏向；（使）倾向于；赞同
n. 斜坡，斜面",高,?
prose,n. 散文,中,x
exceedingly,ad. 极端地，非常,高,?
delicate,a. 纤弱的；脆弱的；精致的；微妙的；灵敏的,高,
precede,v. 领先（于），在…之前；优先，先于,高,
discharge,"vt. 卸货；释放；遣散，解雇；解除
vi. 发射；排出，流出；放（点）",低,
preclude,vt. 妨碍，阻止,低,
exotic,a. 由国外引进的；外国风味的；奇异的，异乎寻常的,中,
locality,n. 位置，地点,低,
erect,"vt. 树立；建立；使竖立
a. 直立的，垂直的",高,x
locker,n. 储物柜，有锁的橱柜,低,
dean,n. 教长；主持牧师；（大学的）学院院长；系主任；训导主任,中,
intensity,n. 强烈，剧烈；强度,高,x
wag(g)on,n. 运货马车；运货车；敞篷车厢,低,
lounge,"n. 休息室；起居室，客厅
vi. 斜倚，躺卧；闲逛",中,?
tempo,n. 节奏，（音乐的）速度；行进速度,低,
overtake,v. 追上，赶上；超过；袭击；压倒,中,x
pasture,n. 牧草地；牧场,低,
gulf,n. 海湾,中,
shepherd,n. 牧民，牧羊人,低,
interior,"a. 内部的，里面的
n. 内部，内地",高,
chorus,"n. 合唱队；合唱
vt. 异口同声地说；合唱",低,
oppress,vt. 压迫，压制,中,
grin,n. 露齿而笑，咧嘴笑,低,
resistant,a. 抵抗的，有抵抗力的,高,
foster,"vt. 培养，培育；鼓励；促进；领养
a. 收养的；收养孤儿的",中,
leap,vi./n. 跳跃，飞跃,高,
embark,v. （使）上船（或飞机、汽车等）,中,
elastic,"a. 弹性的
n. 松紧带；橡皮圈",低,
circulate,v. （使）循环，（使）流通；传播,中,
intimidate,vt. 恐吓，威胁；胁迫,低,
chop,"vt. 砍，劈，斩
n. 排骨；肉块",高,
stir,v. 搅拌，搅动；煽动，鼓动；（使）动，（使）摇动,中,
appraisal,n. 估计，估量；评价,低,
moan,"n. 呻吟声，呜咽声
vi. 呻吟；抱怨，发牢骚
vt. 以呻吟（或呜咽）声说出",中,
hearing,n. 听，倾听；听力；审讯,高,
cricket,n. 板球；蟋蟀,中,
tug,"v. 用力拖（或拉）
n. 猛拉；牵引；拖船",低,
exemplify,vt. 举例证明；是…的榜样,中,
evade,vt. 逃避，躲避，躲开；避开；回避（处理或谈论某事）,高,
conquer,vt. 征服，战胜；占领；克服，破除（坏习惯等）,高,
cradle,n. 摇篮，发源地,低,
pearl,n. 珍珠,中,
reel,"n. 卷筒；线轴
vt. 卷，绕",低,
flaw,n. 裂缝；缺陷,高,
expense,n. 花费，消费；消耗,高,
tactics,n. 策略，战术,中,
paddle,"n. 桨
vt. 用桨划",低,
anticipate,vt. 预期，期望；预料,高,
unanimous,a. 全体一致的，一致同意的,中,
traitor,n. 叛徒，卖国贼,低,
cafeteria,n. 自助餐厅,低,
scarcely,ad. 几乎不，简直没有；刚刚,中,
spiral,"a. 螺旋形的；盘旋的
vi. 盘旋上升（或下降）；（物价等）不断急剧地上升（或下降）
n. 螺旋（线）；螺旋式的上升（或下降）",低,
flee,vi. 逃走；逃避；消失,中,
prey,"n. 猎物，捕获物；受害者
vt. 猎取食物",中,
rejoice,vi. 欢庆；高兴,中,
avenue,n. 林荫道；大街；途径，手段,中,?
anecdote,n. 短故事；轶事，奇闻,中,
radius,n. 半径,高,
marble,n. 大理石，云石,低,
displace,vt. 移置；转移；取代；置换,中,
ridge,n. 岭，山脉；屋脊；鼻梁,低,
spear,n. 矛，枪；渔叉,低,
singular,a. 非凡的，卓越的；单数的，唯一的,低,
susceptible,a. 易受感染的，过敏的；易受影响的；能经受的；有某种能力的,中,?
puppet,n. 木偶；傀儡,中,?
resolution,n. 坚决，决心；决定；决议,中,
resultant,a. 作为结果而发生的；合成的,低,
fluctuate,vi. 波动，起伏,中,
tumble,"v. （使）摔倒；打滚，翻腾
n. 摔跤，跌倒",低,
saturate,vt. 使浸透，渗透；使充满,高,
vicinity,n. 邻近，附近,低,
plaster,n. 灰泥；熟石膏；膏药,低,
beverage,n. 饮料,低,
refute,vt. 反驳，驳斥,中,
rehearse,v. 排练；预演,低,
dull,"a. 单调的，枯燥无味的；迟钝的，愚笨的；不锋利的
vt. 使迟钝",高,?
coil,"v. 卷，盘绕
n. （一）卷，（一）圈；线圈，绕组",低,
faculty,n. 才能；（大学的）系，科，院；（学院或系的）全体教学人员,高,?
rigid,a. 刚性的；刻板的，严格的；严厉的，严明的,中,x
weave,vt. 编，编织,低,
skeptical,a. 怀疑的,中,
extravagant,a. 奢侈的；过分的；放肆的,中,?
colonel,n. （陆军的）上校,中,
brook,n. 小河，溪,低,
stab,vt./n. 刺，戳,低,
outskirts,n. 郊区,低,
nasty,a. 肮脏的，卑劣的，下流的；令人厌恶的；危险的，严重的,中,
wreath,n. 花环，花圈,低,
brass,n. 黄铜，铜器,低,
transcend,vt. 超出，超越,低,
turnover,n. 翻倒（物），翻转（物）；人员调整；资金周转；成交量，营业额,中,x
allege,vt. 断言，宣称；指称，声称,高,
scent,n. 气味；香味；香水,低,
trench,n. 沟，沟渠,低,
tow,n./vt. 拖，牵引,低,
disturbance,n. 动乱，骚乱；干扰,高,?
formidable,a. 可怕的，令人敬畏的；强大的；难以应付的,中,
rug,n. （小）地毯；围毯,低,
archaeology,n. 考古学,高,
alliance,n. 结盟，联盟,中,
lag,"vi. 落后于，滞后于
n. 落后，滞后",中,x
sphere,n. 球；球体；范围；领域,中,
sham,n./v. 假冒；虚伪,低,
carve,v. 雕刻；把…切成块,中,
trivial,a. 琐碎的；无足轻重的,中,
lyric,"n. 抒情诗；歌词
a. 抒情的",低,
crush,"n. 压碎，压坏
vt. 压碎；压坏；镇压，（用暴力）制服",中,?
scattered,a. 离散的，分散的,高,
tenant,n. 承租人；房客；佃户,中,x
breed,"vi. 繁殖，生殖
vt. 造成，引起；以…方式教育；使养成；饲养
n. 品种，种类",低,
infrared,"a. 红外线的
n. 红外线",低,
coherent,a. 黏着的，黏附的；条理清晰的，连贯的,高,?
zigzag,"n. 之字形
a. 之字形的
v. （使）成之字形，曲折盘旋",中,
plantation,n. 种植园,低,
embrace,"v./n. 拥抱
vt. 包含；欣然接受",高,
parliament,n. 国会；议会,高,
pose,"vt. 造成（困难等）；提出（问题等），陈述（观点等）
vi. 摆姿势；假装，冒充",高,?
parasite,n. 寄生虫,低,
marine,a. 海的，海生的；船舶的；航海的,中,
impetus,n. 推动（力），促进,中,
punctual,a. 严守时刻的，准时的，正点的,高,
litter,"n. 垃圾；一窝（动物）
vt. 乱扔
v. 产（仔）",低,
sponge,n. 海绵,中,
amplify,vt. 放大；增强,低,
renaissance,n. （文学、艺术等的）复兴，再生，新生；文艺复兴,中,
confess,v. 供认，承认；坦白；忏悔,高,
lash,"v. （用绳索等）将（物品）系牢；鞭打，抽打；（风、雨等）猛烈打击；抨击，斥责
n. 鞭打；眼睫毛；鞭子，鞭梢",低,
overpass,n. 过街天桥,低,
plight,n. 困境，苦境,低,
portray,vt. 描写，描绘；扮演，饰演,中,?
mug,"n. 大杯
vt. 对…行凶抢劫",低,
barn,n. 谷仓；畜棚,高,
horn,n. （牛、羊等的）角，触角；号，喇叭；角状物；角制品,低,
bureaucracy,n. 官僚；官僚主义，官僚作风；（公司的）管理人员,高,
hysterical,a. 情绪异常激动的，歇斯底里的,低,
conscientious,a. 认真的，勤勤恳恳的,低,
transit,"n. 运输，载运
vt. 通过，经过",低,
rational,a. 理性的；合理的,中,
odd,a. 奇数的；单的；奇怪的，古怪的；临时的；不固定的；带零头的，余的,高,
glacier,n. 冰河，冰川,低,
saddle,n. 鞍；马鞍；鞍状物,低,
submarine,"n. 潜水艇
a. 水底的，海底的",低,
resemblance,n. 相似，相似处,低,
resolve,"v. 决心，决定；（使）分解，溶解；决议；解决
n. 解决，解答；决心；决议",高,?
regulate,vt. 管制，控制；调节，校准；调整,高,
conceive,v. 设想，想象；构思；以为；怀胎，受孕,高,
discreet,a. 谨慎的，慎重的,低,
gross,"a. 总的，毛（重）的；显而易见的；粗鲁的
n. 总额",高,
apparatus,n. 器械，设备，仪器，装置,高,
persuasion,n. 说服，说服力,高,
physician,n. 内科医生,高,
toss,v. （使）摇摆，颠簸；向上扔；辗转反侧,中,
aerial,"a. 空中的；航空的
n. 天线",高,?
reciprocal,a. 相互的；往复的；互利的,低,
poultry,n. 家禽,低,
fracture,"n. 裂缝，裂痕；骨折
v. （使）断裂，（使）折断",低,
stagger,"vt. 使吃惊；使错开，使交错
vi. 蹒跚，摇晃
n. 蹒跚，踉跄",低,
tender,"a. 嫩的；脆弱的；敏感的；温柔的，温厚的
v. 提出，提供；投标",低,
optimum,a. 最好的；最有利的,低,
botany,n. 植物学,低,
ignite,v. 点火，引燃,低,
treason,n. 谋反，通敌，叛国,低,
resent,vt. 对…表示愤恨，怨恨,高,
diabetes,n. 糖尿病；多尿症,低,
revolve,v. （使）旋转,高,
feudal,a. 封建的,低,
shorthand,n. 速记,中,x
reluctant,a. 不情愿的，勉强的,高,
bride,n. 新娘,中,
plunge,"v. （使）投入；（使）插进；陷入；猛冲
n. 投入，尝试",中,x
hollow,"a. 空的，中空的；空洞的，空虚的
vi. 挖空，凿空",低,
exclaim,v. 呼喊，惊叫；大声说,低,
retort,vt./n. 反驳，回嘴,低,
chronic,a. （疾病）慢性的；长期的；积习难改的；严重的；坏的,高,?
religious,a. 宗教的；信教的；虔诚的,高,?
premium,"n. （投保人向保险公司支付的）保险金；额外费用，加付款；奖赏；赠品；额外津贴
a. 高级的，优质的；售价高的",中,
preserve,"vt. 保护，维持；保存，保藏；腌制
n. （某人或群体活动、工作等的）专门领域",高,?
surpass,vt. 超过，胜过,高,
compassion,n. 同情，怜悯,低,
nourish,vt. 提供养分，养育,低,
bulk,n. 体积，容积；大批，大量，大块,高,
alumin(i)um,n. 铝,中,
porter,n. 搬运工人；门房,低,
acclaim,"vt. 向…欢呼，为…喝彩
n. 称赞",高,x
disastrous,a. 灾难性的,低,
chap,n. 小伙子，家伙,低,
sarcastic,a. 讽刺的，挖苦的，嘲笑的,中,
snatch,n./v. 抢夺,低,
miniature,"n. 缩小的模型，缩图
a. 微型的，缩小的",低,
conversely,ad. 相反,中,x
prosecute,vt. 继续从事；对…提起公诉；告发，检举,高,x
hike,"n. 徒步旅行；（数量、价格等）增加，上升
vi. 徒步旅行
vt. 提高（价格等）",低,
formulate,vt. 构想，形成；系统地阐述,高,
pneumonia,n. 肺炎,低,
impulse,n. 推动（力）；冲动；刺激,高,
naval,a. 海军的；军舰的,中,
coke,n. 焦炭；焦煤；可口可乐；可卡因,低,
bandage,"n. 绷带
vt. 用绷带包扎",低,
sanction,"vt. 批准，认可
n. 批准，认可；约束因素，约束力；国际制裁",中,
breast,n. 胸膛，胸部；乳房,中,
guild,n. 协会，行会,高,
seemingly,ad. 表面上，看上去,中,
veto,"n. 否决权
vt. 否决",中,
province,n. 省；领域，范围,高,
fell,vt. 砍倒，砍伐,高,
sob,vi./n. 哭泣，呜咽,低,
prospect,n. 景色；前景，前途，展望；可能性；希望,高,
crawl,vi./n. 爬行，蠕动；缓慢行进,高,
tilt,"v. （使）倾斜，（使）倾侧
n. 倾斜，倾侧",低,
quota,n. 定额，限额，配额,低,
rub,v. 擦，摩擦,低,
fragrant,a. 香的,低,
excerpt,n. 摘录,低,
missile,n. 导弹，发射物,低,
franchise,"n. 特许权；选举权；经销权
vt. 特许",低,
ivory,n. 象牙；象牙色，乳白色,低,
cemetery,n. 坟墓，公墓,低,
clergy,n. 牧师，圣职者，神职人员,中,x
sole,"a. 单独的，唯一的；专有的，独用的
n. 脚垫，鞋底",高,?
gut,"n. 勇气，胆量；内脏；肠
a. 本能的，直觉的
vt. 毁坏（建筑物等）的内部；取出…的内脏",低,
paralyze,vt. 使瘫痪（麻痹）；使丧失作用,中,
blossom,"n. 花
vi. 开花；成长，发展",低,
predominant,a. 占优势的；主要的，突出的,中,
glimpse,n./vt. 一瞥，瞥见,高,
whirl,"v. （使）旋转，打转
n. 旋转，急转",中,x
escalate,v. （使）逐步增长或发展，（使）更紧张；逐步上升，逐步加强，扩大,低,
thereof,ad. 由此，因此,低,
drip,"vi. 滴下，漏水
n. 滴，水滴，点滴",低,
hatch,"vi. 孵，孵出
vt. 策划，图谋
n. 舱口，小门",低,
orchard,n. 果园,低,
tariff,n. 关税，税率；（旅馆、饭店等）价目表，收费表,低,
superficial,a. 表面的；肤浅的，浅薄的,高,
ankle,n. 脚踝,低,
ministry,n. （政府的）部门；牧师,低,
tackle,"n. 用具，器械；滑车
vt. 处理，解决，对付",高,?
counter,"n. 柜台；计数器，计算器
a. 相反的
v. 抵制，反对；反击
ad. 相反",高,?
jargon,n. 行话，术语,低,
enclose,vt. 围住，圈起，封入,低,
articulate,"a. 善于表达的
vt. 清晰明白地说",高,
rack,"n. 挂物架，搁物架
vt. 使痛苦，折磨",低,
embody,vt. 体现，使具体化,高,
precaution,n. 预防；谨慎；警惕,低,
empire,n. 帝国,高,
fiction,n. 虚构，编造；小说,高,
resistance,n. 抵抗，反抗；抵抗力，阻力；电阻,高,
obedience,n. 服从，顺从,低,
sway,v. 摇摆，摇动,低,
perspective,n. 透视画法；透视图；远景，前途；观点，看法,高,?
superstition,n. 迷信；盲目的恐惧,中,
thorn,n. 刺，荆棘,低,
bewilder,vt. 使迷惑，难住,中,x
cargo,n. 船货，货物,低,
turmoil,n. 混乱，骚动,低,
auditorium,n. 礼堂；观众席,中,
distress,"n. 苦恼；危难；不幸
vt. 使苦恼",低,
wicked,a. 邪恶的，恶劣的；恶意的,低,
hydrogen,n. 氢,高,
creep,vi. 爬，爬行；（植物）蔓延,低,
pond,n. 池塘,低,
ritual,"n. 典礼，（宗教等的）仪式；例行公事，老规矩
a. 作为仪式一部分的；例行的",高,
fur,n. 毛，毛皮,中,
shed,"vt. 流出；发散，散发；脱落；摆脱
n. 棚，小屋",高,?
curb,"vt. 控制
n. 路缘；（街道的）镶边石；勒马绳",高,?
hitherto,ad. 到目前为止，迄今,中,
ethic,n. 道德准则，行为准则，伦理标准；伦理学,高,
recession,n. （经济的）衰退，衰退期,高,